,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,23259839.0,22647002.0,21942908.0,21314170.0
Ordinary Shares Number,21526172.0,22139009.0,22843103.0,23471841.0
Share Issued,44786011.0,44786011.0,44786011.0,44786011.0
Net Debt,2011032000.0,1918568000.0,1583378000.0,1240237000.0
Total Debt,2080839000.0,2014534000.0,1681942000.0,1334491000.0
Tangible Book Value,-1105475000.0,-941431000.0,-784651000.0,-464380000.0
Invested Capital,1930901000.0,2039327000.0,1853363000.0,1617166000.0
Working Capital,49121000.0,227358000.0,122820000.0,216577000.0
Net Tangible Assets,-1105475000.0,-941431000.0,-784651000.0,-464380000.0
Common Stock Equity,-149938000.0,24793000.0,171421000.0,282675000.0
Total Capitalization,1738682000.0,1933273000.0,1752229000.0,1566849000.0
Total Equity Gross Minority Interest,-149938000.0,24793000.0,171421000.0,282675000.0
Stockholders Equity,-149938000.0,24793000.0,171421000.0,282675000.0
Gains Losses Not Affecting Retained Earnings,-319815000.0,-227233000.0,-255224000.0,-334925000.0
Other Equity Adjustments,-319815000.0,-227233000.0,2000.0,-334925000.0
Foreign Currency Translation Adjustments,,-82864000.0,-19566000.0,
Minimum Pension Liabilities,,-148625000.0,-235660000.0,
Treasury Stock,8212437000.0,7325656000.0,6259049000.0,5283584000.0
Retained Earnings,7510756000.0,6726866000.0,5859272000.0,5095596000.0
Additional Paid In Capital,871110000.0,850368000.0,825974000.0,805140000.0
Capital Stock,448000.0,448000.0,448000.0,448000.0
Common Stock,448000.0,448000.0,448000.0,448000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,3505493000.0,3467602000.0,3155377000.0,2531874000.0
Total Non Current Liabilities Net Minority Interest,2324411000.0,2319871000.0,2008839000.0,1691547000.0
Other Non Current Liabilities,327112000.0,300031000.0,365801000.0,372925000.0
Non Current Deferred Liabilities,108679000.0,111360000.0,62230000.0,34448000.0
Non Current Deferred Taxes Liabilities,108679000.0,111360000.0,62230000.0,34448000.0
Long Term Debt And Capital Lease Obligation,1888620000.0,1908480000.0,1580808000.0,1284174000.0
Long Term Debt,1888620000.0,1908480000.0,1580808000.0,1284174000.0
Current Liabilities,1181082000.0,1147731000.0,1146538000.0,840327000.0
Current Deferred Liabilities,202022000.0,192759000.0,192648000.0,149106000.0
Current Deferred Revenue,202022000.0,192759000.0,192648000.0,149106000.0
Current Debt And Capital Lease Obligation,192219000.0,106054000.0,101134000.0,50317000.0
Current Debt,192219000.0,106054000.0,101134000.0,50317000.0
Pensionand Other Post Retirement Benefit Plans Current,160308000.0,200031000.0,236265000.0,179252000.0
Payables And Accrued Expenses,626533000.0,648887000.0,616491000.0,461652000.0
Current Accrued Expenses,196138000.0,205253000.0,208811000.0,196834000.0
Payables,430395000.0,443634000.0,407680000.0,264818000.0
Total Tax Payable,219984000.0,191096000.0,134769000.0,89017000.0
Accounts Payable,210411000.0,252538000.0,272911000.0,175801000.0
Total Assets,3355555000.0,3492395000.0,3326798000.0,2814549000.0
Total Non Current Assets,2125352000.0,2117306000.0,2057440000.0,1757645000.0
Other Non Current Assets,335242000.0,345402000.0,262507000.0,169886000.0
Non Current Deferred Assets,31199000.0,27080000.0,39496000.0,41836000.0
Non Current Deferred Taxes Assets,31199000.0,27080000.0,39496000.0,41836000.0
Goodwill And Other Intangible Assets,955537000.0,966224000.0,956072000.0,747055000.0
Other Intangible Assets,285429000.0,306054000.0,307450000.0,196785000.0
Goodwill,670108000.0,660170000.0,648622000.0,550270000.0
Net PPE,803374000.0,778600000.0,799365000.0,798868000.0
Accumulated Depreciation,-703834000.0,-656279000.0,-606476000.0,-622333000.0
Gross PPE,1507208000.0,1434879000.0,1405841000.0,1421201000.0
Machinery Furniture Equipment,1034502000.0,1001409000.0,976112000.0,1002664000.0
Buildings And Improvements,407836000.0,372398000.0,367846000.0,356699000.0
Land And Improvements,64870000.0,61072000.0,61883000.0,61838000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,1230203000.0,1375089000.0,1269358000.0,1056904000.0
Other Current Assets,110638000.0,128108000.0,108916000.0,71230000.0
Inventory,385865000.0,441694000.0,414543000.0,297611000.0
Finished Goods,124332000.0,141676000.0,153900000.0,109882000.0
Work In Process,81181000.0,77848000.0,76019000.0,55688000.0
Raw Materials,180352000.0,222170000.0,184624000.0,132041000.0
Receivables,663893000.0,709321000.0,647335000.0,593809000.0
Accounts Receivable,663893000.0,709321000.0,647335000.0,593809000.0
Allowance For Doubtful Accounts Receivable,-20103000.0,-22427000.0,-22176000.0,-18625000.0
Gross Accounts Receivable,683996000.0,731748000.0,669511000.0,612434000.0
Cash Cash Equivalents And Short Term Investments,69807000.0,95966000.0,98564000.0,94254000.0
Cash And Cash Equivalents,69807000.0,95966000.0,98564000.0,94254000.0
